game_id,date,venue_id,away_team,home_team,away_sp_name,away_sp_id,away_sp_era,away_sp_whip,away_sp_w,away_sp_l,away_sp_k9,away_sp_bb9,away_sp_qs_pct,away_pitcher_type,away_team_era,away_team_whip,away_team_avg,away_team_obp,away_team_slg,away_recent_rpg,home_sp_name,home_sp_id,home_sp_era,home_sp_whip,home_sp_w,home_sp_l,home_sp_k9,home_sp_bb9,home_sp_qs_pct,home_pitcher_type,home_team_era,home_team_whip,home_team_avg,home_team_obp,home_team_slg,home_recent_rpg
824514,2026-08-17,2602,St. Louis Cardinals,Cincinnati Reds,Matthew Liberatore,669461,5.07,1.48,5,10,8.77,3.33,0.0,games_started,4.04,1.34,0.248,0.318,0.41,5.42,Andrew Abbott,671096,4.13,1.42,6,7,6.9,4.33,0.0,games_started,4.51,1.4,0.248,0.318,0.41,3.33
824478,2026-08-17,2602,St. Louis Cardinals,Cincinnati Reds,Matthew Liberatore,669461,5.07,1.48,5,10,8.77,3.33,0.0,games_started,4.04,1.34,0.248,0.318,0.41,5.42,Rhett Lowder,695076,5.15,1.48,4,8,7.36,3.83,0.0,probable,4.51,1.4,0.248,0.318,0.41,3.33
822939,2026-08-17,12,Baltimore Orioles,Tampa Bay Rays,Brandon Young,687064,3.33,1.32,9,3,7.39,3.26,0.0,probable,4.21,1.35,0.248,0.318,0.41,4.67,Shane McClanahan,663556,3.09,1.12,9,6,8.27,3.18,0.0,probable,3.76,1.15,0.248,0.318,0.41,6.25
823427,2026-08-17,2681,Miami Marlins,Philadelphia Phillies,Janson Junk,676083,4.41,1.32,6,7,6.61,2.48,0.0,probable,3.92,1.24,0.248,0.318,0.41,4.5,Cristopher Sánchez,650911,2.54,1.19,15,4,10.5,2.03,0.0,probable,4.16,1.31,0.248,0.318,0.41,5.23
823343,2026-08-17,31,Detroit Tigers,Pittsburgh Pirates,Framber Valdez,664285,4.26,1.39,7,8,7.17,3.38,0.0,probable,3.55,1.21,0.248,0.318,0.41,5.0,Carmen Mlodzinski,669387,3.79,1.4,6,5,7.08,3.18,0.0,probable,4.31,1.32,0.248,0.318,0.41,4.23
824725,2026-08-17,3,Arizona Diamondbacks,Boston Red Sox,Mitch Bratt,683352,3.74,1.4,1,1,6.78,5.15,0.0,probable,4.09,1.27,0.248,0.318,0.41,4.54,Sonny Gray,543243,2.65,1.15,15,3,7.97,2.31,0.0,games_started,3.52,1.22,0.248,0.318,0.41,5.77
823589,2026-08-17,3289,San Diego Padres,New York Mets,Walker Buehler,621111,4.88,1.43,7,5,7.89,3.71,0.0,probable,4.08,1.31,0.248,0.318,0.41,4.85,Nolan McLean,690997,3.42,1.13,8,8,10.51,3.3,0.0,probable,4.09,1.3,0.248,0.318,0.41,5.5
824077,2026-08-17,7,Athletics,Kansas City Royals,Mason Barnett,686930,6.16,1.45,1,3,8.53,4.74,0.0,probable,5.45,1.5,0.248,0.318,0.41,4.42,Michael Wacha,608379,3.46,1.15,5,8,7.01,2.46,0.0,probable,4.78,1.41,0.248,0.318,0.41,3.83
823668,2026-08-17,3312,Atlanta Braves,Minnesota Twins,Martín Pérez,527048,2.96,1.15,8,6,6.79,3.65,0.0,probable,3.64,1.24,0.248,0.318,0.41,4.17,Bailey Ober,641927,4.64,1.23,7,4,6.09,2.27,0.0,probable,4.67,1.39,0.248,0.318,0.41,3.83
824641,2026-08-17,17,Chicago White Sox,Chicago Cubs,Luis Castillo,622491,4.96,1.35,4,9,8.25,2.86,0.0,probable,4.11,1.29,0.248,0.318,0.41,5.25,Shota Imanaga,684007,3.74,1.1,8,9,8.53,1.9,0.0,probable,4.16,1.26,0.248,0.318,0.41,5.77
824320,2026-08-17,19,Los Angeles Dodgers,Colorado Rockies,Blake Snell,605483,5.0,1.33,0,1,15.0,3.0,0.0,probable,3.68,1.17,0.248,0.318,0.41,3.38,Tomoyuki Sugano,608372,4.43,1.25,12,5,5.25,2.07,0.0,probable,5.47,1.52,0.248,0.318,0.41,4.83
